Month,High Price,t
Jan-00,148.25,1
Feb-00,158,2
Mar-00,285,3
Apr-00,280,4
May-00,210,5
Jun-00,239.8,6
Jul-00,235,7
Aug-00,215,8
Sep-00,132.6,9
Oct-00,151.5,10
Nov-00,161.55,11
Dec-00,183,12
Jan-01,147.5,13
Feb-01,192.5,14
Mar-01,175,15
Apr-01,192.95,16
May-01,162.05,17
Jun-01,145,18
Jul-01,140,19
Aug-01,129,20
Sep-01,109.9,21
Oct-01,113,22
Nov-01,110,23
Dec-01,101.9,24
Jan-02,100,25
Feb-02,143.7,26
Mar-02,139.5,27
Apr-02,131.4,28
May-02,152,29
Jun-02,164.5,30
Jul-02,157.25,31
Aug-02,145.5,32
Sep-02,147.8,33
Oct-02,145.75,34
Nov-02,140,35
Dec-02,153.2,36
Jan-03,155.65,37
Feb-03,152.8,38
Mar-03,152.4,39
Apr-03,139.5,40
May-03,141.6,41
Jun-03,152.5,42
Jul-03,167.95,43
Aug-03,187.4,44
Sep-03,208,45
Oct-03,250,46
Nov-03,267.7,47
Dec-03,309.95,48
Jan-04,318.3,49
Feb-04,351.95,50
Mar-04,307.8,51
Apr-04,325.45,52
May-04,319.5,53
Jun-04,274.9,54
Jul-04,271.8,55
Aug-04,282.5,56
Sep-04,297.9,57
Oct-04,303,58
Nov-04,345.5,59
Dec-04,379.9,60
Jan-05,378.5,61
Feb-05,394.1,62
Mar-05,418,63
Apr-05,429,64
May-05,412.2,65
Jun-05,436.5,66
Jul-05,550,67
Aug-05,545.8,68
Sep-05,609.3,69
Oct-05,615.9,70
Nov-05,552.8,71
Dec-05,596.95,72
Jan-06,622,73
Feb-06,635,74
Mar-06,628.8,75
Apr-06,626.9,76
May-06,671,77
Jun-06,557,78
Jul-06,567.9,79
Aug-06,606,80
Sep-06,713,81
Oct-06,794.7,82
Nov-06,925,83
Dec-06,910,84
Jan-07,999,85
Feb-07,1006.9,86
Mar-07,917.9,87
Apr-07,994.3,88
May-07,964,89
Jun-07,967,90
Jul-07,1009.9,91
Aug-07,923.85,92
Sep-07,1070.8,93
Oct-07,1293,94
Nov-07,1348,95
Dec-07,1326,96
Jan-08,1465,97
Feb-08,1245.2,98
Mar-08,1065,99
Apr-08,947,100
May-08,960.9,101
Jun-08,826,102
Jul-08,779.7,103
Aug-08,779.7,104
Sep-08,739,105
Oct-08,565,106
Nov-08,491,107
Dec-08,480.9,108
Jan-09,537.95,109
Feb-09,441.95,110
Mar-09,387.4,111
Apr-09,482.5,112
May-09,797,113
Jun-09,779.5,114
Jul-09,807,115
Aug-09,803.8,116
Sep-09,908.4,117
Oct-09,983.7,118
Nov-09,939,119
Dec-09,916.5,120
Jan-10,907.3,121
Feb-10,886.5,122
Mar-10,969.9,123
Apr-10,1009.5,124
May-10,957.4,125
Jun-10,908.8,126
Jul-10,936.7,127
Aug-10,1023,128
Sep-10,1135,129
Oct-10,1174,130
Nov-10,1277,131
Dec-10,1199.6,132
Jan-11,1158,133
Feb-11,1072,134
Mar-11,1126,135
Apr-11,1137.9,136
May-11,1118.7,137
Jun-11,1098.9,138
Jul-11,1111,139
Aug-11,1059,140
Sep-11,930,141
Oct-11,953.25,142
Nov-11,923.9,143
Dec-11,791,144
Jan-12,906.4,145
Feb-12,998.5,146
Mar-12,957.6,147
Apr-12,917.5,148
May-12,895,149
Jun-12,904.7,150
Jul-12,973.2,151
Aug-12,988.55,152
Sep-12,1086.75,153
Oct-12,1102.4,154
Nov-12,1104.7,155
Dec-12,1159,156
Jan-13,1231,157
Feb-13,1203.15,158
Mar-13,1150.85,159
Apr-13,1188,160
May-13,1236.9,161
Jun-13,1166.45,162
Jul-13,1084.6,163
Aug-13,925.75,164
Sep-13,1069,165
Oct-13,1129.85,166
Nov-13,1139.85,167
Dec-13,1206.2,168
Jan-14,1118,169
Feb-14,1048.8,170
Mar-14,1272.9,171
Apr-14,1317.85,172
May-14,1590.35,173
Jun-14,1510,174
Jul-14,1512.2,175
Aug-14,1563,176
Sep-14,1617.85,177
Oct-14,1632,178
Nov-14,1778,179
Dec-14,1796.8,180
Jan-15,393.3,181
Feb-15,361,182
Mar-15,365,183
Apr-15,334.8,184
May-15,337.35,185
Jun-15,320.45,186
Jul-15,321,187
Aug-15,319.7,188
Sep-15,285.35,189
Oct-15,292.65,190
Nov-15,282.7,191
Dec-15,276.65,192
Jan-16,263.5,193
Feb-16,229,194
Mar-16,241,195
Apr-16,257.65,196
May-16,248.9,197
Jun-16,261,198
Jul-16,274,199
Aug-16,261.45,200
Sep-16,283.6,201
Oct-16,291.5,202
Nov-16,298.2,203
Dec-16,269.5,204
Jan-17,275.5,205
Feb-17,292.55,206
Mar-17,287.6,207
Apr-17,291.6,208
May-17,327.1,209
Jun-17,327.5,210
Jul-17,314.5,211
Aug-17,305.1,212
Sep-17,300,213
Oct-17,314.5,214
Nov-17,332.3,215
Dec-17,322,216
Jan-18,365.65,217
Feb-18,355.7,218
Mar-18,313.95,219
Apr-18,294.8,220
May-18,317.35,221
Jun-18,302.7,222
Jul-18,308.35,223
Aug-18,346.9,224
Sep-18,345,225
Oct-18,356.3,226
Nov-18,375.25,227
Dec-18,369.25,228
Jan-19,383.35,229
Feb-19,365.7,230
Mar-19,402.7,231
Apr-19,410.65,232
May-19,437.9,233
Jun-19,443.85,234
