Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
September-1997,46.50,52.50,44.60,48.25,8558100,11118,421519995.00,7.90,,,1.75,@
October-1997,48.00,53.00,46.25,48.75,8815300,13942,430226825.00,6.75,,,0.75,@
November-1997,48.75,49.00,40.25,43.00,895400,2651,40289500.00,8.75,,,-5.75,@
December-1997,41.50,43.25,35.00,42.25,879500,2249,34086975.00,8.25,,,0.75,@
January-1998,47.25,47.25,47.25,47.25,100,1,4725.00,0.00,,,0.00,
January-1998,42.50,53.00,36.50,47.25,3818300,8026,179400525.00,16.50,,,4.75,@
February-1998,47.00,47.25,39.00,44.65,1449500,3124,61987400.00,8.25,,,-2.35,@
March-1998,45.50,49.50,43.80,45.80,958300,2867,44701740.00,5.70,,,0.30,@
April-1998,45.80,60.00,45.25,52.20,4563700,10052,241180200.00,14.75,,,6.40,@
May-1998,52.00,53.00,40.05,41.35,1911600,3632,86076735.00,12.95,,,-10.65,@
June-1998,44.00,44.50,32.00,32.80,1337300,3491,48821311.00,12.50,,,-11.20,@
July-1998,32.60,43.20,31.80,36.35,1368000,3460,51696249.00,11.40,,,3.75,@
August-1998,36.50,39.50,35.00,37.05,796600,1650,29804875.00,4.50,,,0.55,@
September-1998,36.50,40.00,35.00,35.00,3221650,2446,120115310.00,5.00,,,-1.50,@
October-1998,33.25,33.65,24.95,27.00,924500,2363,25893985.00,8.70,,,-6.25,@
November-1998,27.10,30.00,23.50,24.30,3242200,6830,86758220.00,6.50,,,-2.80,@
December-1998,24.05,24.80,21.50,21.85,1323500,3084,30782015.00,3.30,,,-2.20,@
January-1999,22.15,27.95,21.90,24.45,7039700,10084,174913760.00,6.05,,,2.30,@
February-1999,21.00,21.00,21.00,21.00,100,1,2100.00,0.00,,,0.00,
February-1999,25.00,26.85,21.00,26.00,2950000,4330,69982064.00,5.85,,,1.00,@
March-1999,26.50,33.00,26.00,27.40,3398200,5901,98949405.00,7.00,,,0.90,@
April-1999,27.10,27.40,22.55,23.55,587700,1547,14645210.00,4.85,,,-3.55,@
May-1999,27.00,27.00,26.50,26.50,900,2,24100.00,0.50,,,-0.50,
May-1999,23.40,35.00,23.00,32.55,3433545,6474,98345136.00,12.00,,,9.15,@
June-1999,32.50,39.90,32.00,36.00,1489858,3530,51445326.00,7.90,,,3.50,@
July-1999,36.25,45.40,32.25,34.00,3419625,6990,135039527.00,13.15,,,-2.25,@
August-1999,32.50,37.95,31.65,34.00,2688288,4479,93823965.00,6.30,,,1.50,@
September-1999,34.50,37.00,32.25,35.00,2295460,4239,79343409.00,4.75,,,0.50,@
October-1999,37.00,37.00,37.00,37.00,1000,1,37000.00,0.00,,,0.00,
October-1999,34.50,40.70,33.30,33.90,3222284,6869,117357631.00,7.40,,,-0.60,@
November-1999,34.50,36.75,33.00,35.90,2203166,3976,76624740.00,3.75,,,1.40,@
December-1999,35.50,76.60,35.15,70.00,8503083,17978,487030054.00,41.45,,,34.50,@
January-2000,75.00,148.25,65.00,148.25,8520051,23198,808028972.00,83.25,,,73.25,@
February-2000,158.00,158.00,158.00,158.00,591930,1,93524940.00,0.00,,,0.00,
February-2000,156.00,188.00,134.65,168.00,9793983,37794,1610256154.00,53.35,,,12.00,@
March-2000,172.20,285.00,171.25,260.00,8132104,45197,1937307772.00,113.75,,,87.80,@
April-2000,280.00,280.00,188.65,236.00,4649419,28488,1041889773.00,91.35,,,-44.00,@
May-2000,210.00,210.00,210.00,210.00,200,1,42000.00,0.00,,,0.00,
May-2000,239.80,242.00,195.00,210.00,2868233,26670,606644010.00,47.00,,,-29.80,@
June-2000,209.05,239.80,202.00,211.45,2590305,20186,557553808.00,37.80,,,2.40,@
July-2000,209.00,235.00,191.00,200.45,2535362,19995,530677542.00,44.00,,,-8.55,@
August-2000,199.75,215.00,190.50,195.90,1133786,11909,228478315.00,24.50,,,-3.85,@
September-2000,132.60,132.60,132.60,132.60,1,1,132.00,0.00,,,0.00,
September-2000,198.00,208.70,132.45,151.45,2300066,22432,395634227.00,76.25,,,-46.55,@
October-2000,145.00,151.50,104.10,109.10,3587977,30519,444596757.00,47.40,,,-35.90,@
November-2000,109.70,161.55,109.70,147.85,2711393,26684,383071341.00,51.85,,,38.15,@
December-2000,147.10,183.00,133.30,150.55,4248167,35442,664403200.00,49.70,,,3.45,@
January-2001,147.50,147.50,147.50,147.50,15500,1,2286250.00,0.00,,,0.00,
January-2001,153.50,177.90,144.90,152.05,5664568,39379,897527811.00,33.00,,,-1.45,@
February-2001,192.50,192.50,160.00,160.00,66700,14,11214750.00,32.50,,,-32.50,
February-2001,153.00,201.00,150.55,177.40,6999850,51000,1208799389.00,50.45,,,24.40,@
March-2001,175.00,175.00,175.00,175.00,9317851,4,1630623925.00,0.00,,,0.00,
March-2001,179.25,213.80,144.55,165.40,4909000,46786,896749676.00,69.25,,,-13.85,@
